Id,Name,Description,BillingStreet,BillingCity,BillingState
0014W000025shUEQAY,"Edge Communications","Edge, founded in 1998, is a start-up based in Austin, TX. The company designs and manufactures a device to convert music from one digital format to another. Edge sells its product through retailers and its own website.","312 Constitution Place
Austin, TX 78767
USA",Austin,TX
0014W000025shUFQAY,"Burlington Textiles Corp of America",,"525 S. Lexington Ave",Burlington,NC
0014W000025shUHQAY,"Dickenson plc",,"1301 Hoch Drive",Lawrence,KS
0014W000025shUIQAY,"Grand Hotels & Resorts Ltd","Chain of hotels and resorts across the US, UK, Eastern Europe, Japan, and SE Asia.","2334 N. Michigan Avenue, Suite 1500
Chicago, IL 60601, USA",Chicago,IL
0014W000025shUJQAY,"United Oil & Gas Corp.","World's third largest oil and gas company.","1301 Avenue of the Americas 
New York, NY 10019
USA","New York",NY
0014W000025shUKQAY,"Express Logistics and Transport","Commerical logistics and transportation company.","620 SW 5th Avenue Suite 400
Portland, Oregon 97204
United States",Portland,OR
0014W000025shULQAY,"University of Arizona","Leading university in AZ offering undergraduate and graduate programs in arts and humanities, pure sciences, engineering, business, and medicine.","888 N Euclid 
Hallis Center, Room 501
Tucson, AZ 85721
United States",Tucson,AZ
0014W000025shUMQAY,"United Oil & Gas, UK",,"Kings Park, 17th Avenue, Team Valley Trading Estate,
Gateshead, Tyne and Wear NE26 3HS
United Kingdom",,UK
0014W000025shUNQAY,"United Oil & Gas, Singapore",,"9 Tagore Lane
Singapore, Singapore 787472
Singapore",Singapore,Singapore
0014W000025shUOQAY,GenePoint,"Genomics company engaged in mapping and sequencing of the human genome and developing gene-based drugs","345 Shoreline Park
Mountain View, CA 94043
USA","Mountain View",CA
0014W000025shUPQAY,sForce,,"The Landmark @ One Market","San Francisco",CA
0014W00002FIH88QAH,"Mason and Sons","Balanced 24/7 knowledge user","1351 Geoffrey Flats","Port Jaystad",Alaska
0014W00002FIH89QAH,"Velasquez, Lewis and Townsend","Intuitive national help-desk","34130 Mcclain Drive Suite 901",Jermaineview,Colorado
0014W00002FIH8AQAX,"Hardy Inc","Grass-roots stable adapter","57770 Maurice Mall",Stokesland,Montana
0014W00002FIH8BQAX,"Melton and Sons","Cross-platform actuating extranet","223 Kaiser Villages Apt. 137","Port Haydenville","North Dakota"
0014W00002FIH8CQAX,"Cook LLC","Optional high-level orchestration","205 Jacobson Ports Suite 679","West Cassie","Rhode Island"
0014W00002FIH8DQAX,"Cox and Sons","Open-source homogeneous complexity","207 Selena Tunnel","Port Paulberg",Oregon
0014W00002FIH8EQAX,"Luna, Harris and Woodward","Phased client-driven project","98392 Tyrone Burg Apt. 357",Dawnbury,Colorado
0014W00002FIH8FQAX,"Day LLC","Distributed analyzing complexity","2497 Tyrone Path Apt. 445","Lake Gene",Washington
0014W00002FIH8GQAX,Fleming-Vargas,"Grass-roots systematic info-mediaries","692 Kevin Summit Apt. 225",Daleburgh,Florida
0014W00002FIH8HQAX,Morrow-Snyder,"User-centric national utilization","722 Bird Center Apt. 990","North Tami","North Dakota"
0014W00002FIGycQAH,"Stephenson PLC","Persevering modular knowledgebase","0550 Wilcox Summit","West Mary",Kentucky
0014W00002FIGydQAH,Oneal-Hull,"Upgradable 24hour open architecture","98041 Yoder Canyon","South Rebekahton","South Carolina"
0014W00002FIGyfQAH,Jenkins-Roberson,"Optional solution-oriented paradigm","4448 Grimes Crossing Apt. 825","West Joseph",Illinois
0014W00002FIGygQAH,"Key Ltd","Devolved 24/7 info-mediaries","961 Garza Junctions Apt. 689","East Maryton",Massachusetts
0014W00002FIGyhQAH,"Thornton, Dickerson and Fox","Secured empowering project","40740 Eddie Islands","North Ana",Oklahoma
0014W00002FIGykQAH,"Davidson, Smith and Fry","Multi-lateral human-resource protocol","2877 Potter Keys","East Brenda",Iowa
0014W00002FIH97QAH,"Downs and Sons","Optimized zero tolerance challenge","85161 Padilla Glens Apt. 796",Duaneton,"New Jersey"
0014W00002FIH99QAH,Kent-Brady,"Upgradable 24hour website","21798 Carly Ranch Suite 730",Hendricksville,Maryland
0014W00002FIH9DQAX,Garner-Miller,"Diverse mobile model","33025 Stacie Lane Suite 732",Huntermouth,California
0014W00002FIHCTQA5,"Thompson, Patterson and Velasquez","Universal interactive product","7060 Makayla Throughway",Nathanbury,Ohio
0014W00002FIHCUQA5,"Downs and Sons","Optimized zero tolerance challenge","85161 Padilla Glens Apt. 796",Duaneton,"New Jersey"
0014W00002FIHCVQA5,"Phillips, Macias and Galvan","Fully-configurable client-server algorithm","45434 Barrett Centers Apt. 299",Bettymouth,Virginia
0014W00002FIHCWQA5,Kent-Brady,"Upgradable 24hour website","21798 Carly Ranch Suite 730",Hendricksville,Maryland
0014W00002FIHCXQA5,Mahoney-Lyons,"Mandatory bifurcated protocol","0689 Dylan Squares",Fuentesmouth,"New Hampshire"
0014W00002FIHCYQA5,"Haynes Inc","Versatile global Internet solution","110 Blanchard Forks Suite 342","West Jesus",Missouri
0014W00002FIHCZQA5,Sherman-Summers,"Function-based 24hour firmware","556 Tom Row Apt. 974","South Cristianberg",Tennessee
0014W00002FIHCaQAP,Garner-Miller,"Diverse mobile model","33025 Stacie Lane Suite 732",Huntermouth,California
0014W00002FIHCbQAP,Arnold-Herman,"Business-focused homogeneous encryption","86512 Adam Squares","New Kylebury",Alaska
0014W00002FIHCcQAP,"Rangel Group","Team-oriented analyzing orchestration","0489 Todd Walks","West Daltonchester",Alaska
